"Brompton Grocery","2375 US Highway 78",Moody,AL,35004,2056998234
Aldi,"5960 Chalkville Road",Birmingham,AL,35235,
Publix,"5150 Old Springville Rd",Pinson,AL,35126,2058155224
"Food Giant","145 Hueytown Plz",Mulga,AL,35118,2054913561
Winn-Dixie,"104 River Square Plz",Bessemer,AL,35023,2054915145
"Whole Foods Market","3100 Cahaba Village Plz",Birmingham,AL,35243,2059128400
"Super Oriental Market and Red Pearl Restaurant","243 W Valley Ave",Birmingham,AL,35209,2059459558
"V Richards Market","3908 Clairmont Ave S",Birmingham,AL,35222,2055917000
Publix,"4965 Promenade Pkwy",Bessemer,AL,35022,2054267100
Walmart,"1600 Montclair Rd",Birmingham,AL,35210,2059560416
"Gordos Market","433 Valley Ave",Birmingham,AL,35209,2059160707
"The Fresh Market #49","4740 Highway 280",Birmingham,AL,35242,2059910294
"Publix Super Markets","4851 Rice Mine Rd NE",Tuscaloosa,AL,35406,2052477666
"Western Supermarkets","2717 Culver Rd",Birmingham,AL,35223,2058791746
"Publix Super Markets","365 Huntley Pkwy",Pelham,AL,35124,2056200102
Aldi,"428 Green Springs Highway",Birmingham,AL,35209,
"El Rincon Latino","2409 University Blvd E",Tuscaloosa,AL,35404,2054621287
"Food Giant","145 Hueytown Plz",Mulga,AL,35118,2054913561
Aldi,"5960 Chalkville Road",Birmingham,AL,35235,
Publix,"5150 Old Springville Rd",Pinson,AL,35126,2058155224
Walmart,"16077 Highway 280",Chelsea,AL,35043,2056782222
"Bruno's Food & Pharmacy","2001 McFarland Blvd E",Tuscaloosa,AL,35404,2053455855
Walmart,"750 Academy Dr",Bessemer,AL,35022,2054245890
"Piggly Wiggly","3800 River Run Dr Ste 103",Birmingham,AL,35243,2057768755
"Bama Grocery","14614 Highway 140",Coker,AL,35452,2053304425
"Publix Super Markets","365 Huntley Pkwy",Pelham,AL,35124,2056200102
Walmart,"750 Academy Dr",Bessemer,AL,35022,2054245890
